Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Cast, P. C.",Marked (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Redeemed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Revealed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Tempted (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Untamed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cavell-Clarke, Steffi",Celebrating Different Beliefs,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Celano, Marianne",Something Happened in Our Town,Banned in Libraries,"Moses, Donald",Missouri,Fox C-6 School District,2022-05-01,Formal Challenge,38.573936,-92.60376
"Cervantes, Angela","Gaby, Lost and Found",Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Chambers, Veronica","Celia Cruz, Queen of Salsa",Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Chang, Iris",The Rape of Nanking,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Charlton-Trujillo, E. E.",Fat Angie (Fat Angie Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Charlton-Trujillo, E. E.",Homecoming (Fat Angie Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Charlton-Trujillo, E. E.",Rebel Girl Revolution (Fat Angie Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-05-01,Administrator,27.994402,-81.760254
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries,,Missouri,Nixa Public Schools,2022-02-01,Formal Challenge,38.573936,-92.60376
